,Country,Date,value
77213,Italy,01/01/92,20051.93
77214,Italy,01/01/93,20339.53
77215,Italy,01/01/94,21216.39
77216,Italy,01/01/95,22286.23
77217,Italy,01/01/96,22968.13
77218,Italy,01/01/97,23818.97
77219,Italy,01/01/98,24946.91
77220,Italy,01/01/99,25531.62
77221,Italy,01/01/00,27027.19
77222,Italy,01/01/01,27932.62
77223,Italy,01/01/02,28641.56
77224,Italy,01/01/03,29081.29
77225,Italy,01/01/04,29447.35
77226,Italy,01/01/05,30051.77
77227,Italy,01/01/06,32331.96
77228,Italy,01/01/07,33996.49
77229,Italy,01/01/08,35402.92
77230,Italy,01/01/09,34513.97
77231,Italy,01/01/10,35008.07
77232,Italy,01/01/11,36347.34
77233,Italy,01/01/12,36237.11
77234,Italy,01/01/13,36131.13
77235,Italy,01/01/14,36070.81
77236,Italy,01/01/15,36836.43
77237,Italy,01/01/16,39043.4
77238,Italy,01/01/17,40923.7
77239,Japan,01/01/90,19561.2
77240,Japan,01/01/91,20849.02
77241,Japan,01/01/92,21451.67
77242,Japan,01/01/93,21792.34
77243,Japan,01/01/94,22402.27
77244,Japan,01/01/95,23409.64
77245,Japan,01/01/96,24515.12
77246,Japan,01/01/97,25146.2
77247,Japan,01/01/98,25074.06
77248,Japan,01/01/99,25325.71
77249,Japan,01/01/00,26838.69
77250,Japan,01/01/01,27472.55
77251,Japan,01/01/02,28160.11
77252,Japan,01/01/03,28924.68
77253,Japan,01/01/04,30348.04
77254,Japan,01/01/05,31663.45
77255,Japan,01/01/06,33090.2
77256,Japan,01/01/07,34501.51
77257,Japan,01/01/08,34798.77
77258,Japan,01/01/09,33198.62
77259,Japan,01/01/10,34986.99
77260,Japan,01/01/11,35774.7
77261,Japan,01/01/12,37191.39
77262,Japan,01/01/13,38974.08
77263,Japan,01/01/14,39179.16
77264,Japan,01/01/15,40446.88
77265,Japan,01/01/16,41306.75
77266,Japan,01/01/17,42066.58
77267,Republic of Korea,01/01/90,8273.41
77268,Republic of Korea,01/01/91,9345.82
77269,Republic of Korea,01/01/92,10044.19
77270,Republic of Korea,01/01/93,10875.12
77271,Republic of Korea,01/01/94,12008.47
77272,Republic of Korea,01/01/95,13299.16
77273,Republic of Korea,01/01/96,14433
77274,Republic of Korea,01/01/97,15406.22
77275,Republic of Korea,01/01/98,14621.3
77276,Republic of Korea,01/01/99,16392.81
77277,Republic of Korea,01/01/00,18082.95
77278,Republic of Korea,01/01/01,19168.22
77279,Republic of Korea,01/01/02,20775.11
77280,Republic of Korea,01/01/03,21376.77
77281,Republic of Korea,01/01/04,22936.81
77282,Republic of Korea,01/01/05,24196.42
77283,Republic of Korea,01/01/06,25820.97
77284,Republic of Korea,01/01/07,27822.28
77285,Republic of Korea,01/01/08,28655.98
77286,Republic of Korea,01/01/09,28325.21
77287,Republic of Korea,01/01/10,30365.28
77288,Republic of Korea,01/01/11,31228.51
77289,Republic of Korea,01/01/12,32097.16
77290,Republic of Korea,01/01/13,32615.77
77291,Republic of Korea,01/01/14,33587.58
77292,Republic of Korea,01/01/15,35760.73
77293,Republic of Korea,01/01/16,37142.83
77294,Republic of Korea,01/01/17,38824.12
77295,Luxembourg,01/01/90,29664.8
77296,Luxembourg,01/01/91,32875.6
77297,Luxembourg,01/01/92,33784.87
77298,Luxembourg,01/01/93,35557.6
77299,Luxembourg,01/01/94,37194.52
77300,Luxembourg,01/01/95,39635.72
77301,Luxembourg,01/01/96,41343.73
77302,Luxembourg,01/01/97,42846.11
77303,Luxembourg,01/01/98,44396.53
77304,Luxembourg,01/01/99,50627.93
77305,Luxembourg,01/01/00,55348.9
77306,Luxembourg,01/01/01,55894.8
77307,Luxembourg,01/01/02,58771.51
77308,Luxembourg,01/01/03,60039.3
77309,Luxembourg,01/01/04,64051.56
77310,Luxembourg,01/01/05,68220.06
77311,Luxembourg,01/01/06,77951.36
77312,Luxembourg,01/01/07,83981.74
77313,Luxembourg,01/01/08,86693.9
77314,Luxembourg,01/01/09,82278.2
77315,Luxembourg,01/01/10,85613.59
77316,Luxembourg,01/01/11,92005.02
77317,Luxembourg,01/01/12,91622.18
77318,Luxembourg,01/01/13,95590.54
77319,Luxembourg,01/01/14,101297.58
77320,Luxembourg,01/01/15,102780.44
77321,Luxembourg,01/01/16,105082.07
77322,Luxembourg,01/01/17,107640.56
77323,Mexico,01/01/90,6391.2
77324,Mexico,01/01/91,6760.11
77325,Mexico,01/01/92,7044
77326,Mexico,01/01/93,8369.13
77327,Mexico,01/01/94,8800.34
77328,Mexico,01/01/95,8267.74
77329,Mexico,01/01/96,8835.13
77330,Mexico,01/01/97,9445.46
77331,Mexico,01/01/98,9888.51
77332,Mexico,01/01/99,10155.49
77333,Mexico,01/01/00,10782.39
77334,Mexico,01/01/01,10830.86
77335,Mexico,01/01/02,10901.15
77336,Mexico,01/01/03,11204.26
77337,Mexico,01/01/04,11805.56
77338,Mexico,01/01/05,12369.76
77339,Mexico,01/01/06,13490.58
77340,Mexico,01/01/07,13949.43
77341,Mexico,01/01/08,14551.05
77342,Mexico,01/01/09,14174.92
77343,Mexico,01/01/10,14840.99
77344,Mexico,01/01/11,16049.36
77345,Mexico,01/01/12,16658.08
77346,Mexico,01/01/13,16848.04
77347,Mexico,01/01/14,17484.29
77348,Mexico,01/01/15,17699.16
77349,Mexico,01/01/16,18161.49
77350,Mexico,01/01/17,18655.92
77351,Netherlands,01/01/90,18901.03
77352,Netherlands,01/01/91,19859.72
77353,Netherlands,01/01/92,20503.24
77354,Netherlands,01/01/93,21105.36
77355,Netherlands,01/01/94,22060.91
77356,Netherlands,01/01/95,23110.92
77357,Netherlands,01/01/96,24224.08
77358,Netherlands,01/01/97,25726.38
77359,Netherlands,01/01/98,27358.55
77360,Netherlands,01/01/99,28946.1
77361,Netherlands,01/01/00,31596.97
77362,Netherlands,01/01/01,32836.88
77363,Netherlands,01/01/02,33991.06
77364,Netherlands,01/01/03,33703.44
77365,Netherlands,01/01/04,35415.72
77366,Netherlands,01/01/05,37265.35
77367,Netherlands,01/01/06,40597.4
77368,Netherlands,01/01/07,43479.16
77369,Netherlands,01/01/08,45843.89
77370,Netherlands,01/01/09,44045.26
77371,Netherlands,01/01/10,45040.32
77372,Netherlands,01/01/11,46599.02
77373,Netherlands,01/01/12,47272.1
77374,Netherlands,01/01/13,49241.52
77375,Netherlands,01/01/14,49233.22
77376,Netherlands,01/01/15,50302.07
77377,Netherlands,01/01/16,51338.57
77378,Netherlands,01/01/17,54422.01
77379,New Zealand,01/01/90,14871.41
77380,New Zealand,01/01/91,14569.67
77381,New Zealand,01/01/92,14912.81
77382,New Zealand,01/01/93,15939
77383,New Zealand,01/01/94,17042.79
77384,New Zealand,01/01/95,17907.47
77385,New Zealand,01/01/96,18464.03
77386,New Zealand,01/01/97,19137.14
77387,New Zealand,01/01/98,19343.24
77388,New Zealand,01/01/99,20579.37
77389,New Zealand,01/01/00,21521.53
77390,New Zealand,01/01/01,22500.48
77391,New Zealand,01/01/02,23306.28
77392,New Zealand,01/01/03,23967.42
77393,New Zealand,01/01/04,25080.31
77394,New Zealand,01/01/05,25677.1
77395,New Zealand,01/01/06,27758.17
77396,New Zealand,01/01/07,29385.9
77397,New Zealand,01/01/08,29860.37
77398,New Zealand,01/01/09,30699.66
77399,New Zealand,01/01/10,31253.05
77400,New Zealand,01/01/11,32734.54
77401,New Zealand,01/01/12,32986.03
77402,New Zealand,01/01/13,36219.58
77403,New Zealand,01/01/14,37283.1
77404,New Zealand,01/01/15,37562.48
77405,New Zealand,01/01/16,39420.76
77406,New Zealand,01/01/17,40747.61
77407,Norway,01/01/90,18432.5
77408,Norway,01/01/91,19550.27
77409,Norway,01/01/92,20591.34
77410,Norway,01/01/93,21550.32
77411,Norway,01/01/94,22991.95
77412,Norway,01/01/95,24322.56
77413,Norway,01/01/96,26791.01
77414,Norway,01/01/97,28605.26
77415,Norway,01/01/98,28186.27
77416,Norway,01/01/99,30555.34
77417,Norway,01/01/00,36956.38
77418,Norway,01/01/01,37786.84
77419,Norway,01/01/02,37959.79
77420,Norway,01/01/03,38533.09
77421,Norway,01/01/04,42486.4
77422,Norway,01/01/05,47772.43
77423,Norway,01/01/06,54079.76
77424,Norway,01/01/07,55896.78
77425,Norway,01/01/08,61757.25
77426,Norway,01/01/09,55437.53
77427,Norway,01/01/10,57965.53
77428,Norway,01/01/11,62145.03
77429,Norway,01/01/12,65447.5
77430,Norway,01/01/13,67056.12
77431,Norway,01/01/14,66015.44
77432,Norway,01/01/15,60519.97
77433,Norway,01/01/16,58138.44
77434,Norway,01/01/17,62182.84
77435,Poland,01/01/90,6175.62
77436,Poland,01/01/91,5915.54
77437,Poland,01/01/92,6183.53
77438,Poland,01/01/93,6549.98
77439,Poland,01/01/94,7029.08
77440,Poland,01/01/95,7664.96
77441,Poland,01/01/96,8255.15
77442,Poland,01/01/97,8922.24
77443,Poland,01/01/98,9471.44
77444,Poland,01/01/99,10022.4
77445,Poland,01/01/00,10652.91
77446,Poland,01/01/01,11101.97
77447,Poland,01/01/02,11781.06
77448,Poland,01/01/03,12257.14
77449,Poland,01/01/04,13341.1
77450,Poland,01/01/05,13895.92
77451,Poland,01/01/06,15142.18
77452,Poland,01/01/07,16787.97
77453,Poland,01/01/08,18310.44
77454,Poland,01/01/09,19246.45
77455,Poland,01/01/10,21048.33
77456,Poland,01/01/11,22850.64
77457,Poland,01/01/12,23833.21
77458,Poland,01/01/13,24719.25
77459,Poland,01/01/14,25612.26
77460,Poland,01/01/15,26826.23
77461,Poland,01/01/16,27735.35
77462,Poland,01/01/17,29923.71
77463,Portugal,01/01/90,11762.87
77464,Portugal,01/01/91,12721.16
77465,Portugal,01/01/92,13163.03
77466,Portugal,01/01/93,13183.43
77467,Portugal,01/01/94,13558.34
77468,Portugal,01/01/95,14385.59
77469,Portugal,01/01/96,14902.56
77470,Portugal,01/01/97,15791.05
77471,Portugal,01/01/98,16691.56
77472,Portugal,01/01/99,17723.46
77473,Portugal,01/01/00,18886.91
77474,Portugal,01/01/01,19540.62
